"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","order","seasonal_order","mape","data"
"2025-02-04 01:37:08","5.5s","11bf7bef67a248e393c10d920ee8c9dc","learned-shark-567","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.32584772507843474","359"
"2025-02-04 01:37:03","4.6s","6e9f2ad260904fbabc433043b4f0f86c","rambunctious-cod-319","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.20866677239939954","358"
"2025-02-04 01:36:59","4.7s","6cf59d7cb3124ceebed6173f8fe2f0c7","upset-croc-223","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2741972572795751","357"
"2025-02-04 01:36:54","4.4s","1d57b4345b234d52ae27aed59f375ae4","fearless-slug-990","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.343051841462315","356"
"2025-02-04 01:36:47","7.5s","88d83e9f4ffa44c3a77440b32cc3b47a","nebulous-goose-871","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.22236013170078753","355"
"2025-02-04 01:36:42","4.5s","b5d102acccac4994827c73c5508970f8","gentle-gull-255","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2010956169131465","354"
"2025-02-04 01:36:37","5.4s","265d11b565594d9bb858ac382ef6f27b","polite-shad-779","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3508532363179885","353"
"2025-02-04 01:36:32","4.4s","3dea24c5f31d4522ad6bf01cabfa402a","gentle-zebra-402","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3634099576324817","352"
"2025-02-04 01:36:28","4.4s","067a91014cf5428982184111431fef99","adorable-quail-370","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2892204036519278","351"
"2025-02-04 01:36:23","4.9s","0c70ecd02f8b43fb9675f871eb180cec","illustrious-fawn-341","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3400986957262821","350"
"2025-02-04 01:36:18","5.6s","7be1666e24534b6f8366944cc419fce6","marvelous-smelt-703","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3036724343654595","349"
"2025-02-04 01:36:13","5.0s","226c8cc70b204b76a287d79e66215067","blushing-bass-884","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.273360358922932","348"
"2025-02-04 01:36:07","5.1s","2bb08d26bf9148c495dee63f3c7433b9","defiant-perch-297","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.307748293824486","347"
"2025-02-04 01:36:01","6.1s","96858937423f494d8a468135614d14ca","legendary-vole-61","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.30157870038512063","346"
"2025-02-04 01:35:57","4.6s","bd73cd511bdd47eea8b2484deca182be","masked-hawk-328","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3033150278140701","345"
"2025-02-04 01:35:52","5.1s","9f1cc9d8d41041d39f01ce3913856bf7","gifted-chimp-271","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.18770793276721198","344"
"2025-02-04 01:35:46","5.4s","3ad66b53f4184722b4ad5048f4d5eac5","inquisitive-bird-721","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3240865363755129","343"
"2025-02-04 01:35:41","5.2s","28bc74ddfd714466b8ad114670c3c3ed","smiling-crab-612","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.23124171341814065","342"
"2025-02-04 01:35:36","5.2s","f12d4552c6854eb3a69a01156f0339ae","aged-duck-630","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.20135626822193628","341"
"2025-02-04 01:35:30","5.6s","ef71a0bc895b417a929d9f852e573089","fearless-stag-869","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.29203262931940277","340"
"2025-02-04 01:35:25","4.9s","b870cc042699490ba159bc767e9eca4f","crawling-stoat-406","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.31627628487835335","339"
"2025-02-04 01:35:21","4.8s","09b361d212304ef6a1337b3d40da5c63","calm-shad-771","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3418658819161181","338"
